2032076,8887644,1013666,2760575,8760398
9254111,2856544,9713872,9854668,2856517
2704058,2375195,9265387,2856465,3088387
9331591,8438032,1338007,8461915,9984142
9385809,2842639,2760575,2730972,1208753
2107458,1182175,3668336,2248278,9889193
3046603,8793326,2173065,9927328,9092563
3046603,8793326,2173065,9927328,9092563
9385809,2842639,2760575,2730972,1208753
3046603,8793326,2173065,9927328,9092563
9927328,2173065,3046603,8793326
9713872,9854507,9854668,2856544,2856517
1331217,1580049,2897116,9540428,1330193
2106238,2856517,1331217,2633103,3230198
9291232,3967307
2107458,1182175,3668336,2248278,9889193
9927328,2173065,3046603,8793326
2107458,1182175,3668336,2248278,9889193
2823899,2106238,3600554,1179963,2633103
2802508,9980886,8947205,3650391,9823769
2977637,8990014,1161734,9540473,1579138

2107458,1182175,3668336,2248278,9889193
1179963,2823899,3600554,8533848,3653546
1154546,8595763,9955514,2823899,9254255
9261014
3001046,8814811,2330703,1207275,2809529
2802508,9980886,8947205,3650391,8533848
2977637,8990014,1161734,9540473,1579138
3487029,2643215,9629647,2541184,1508787

8323593
2106238,2633103,1331217,3230198,3046066
3046603,9927328,2173065,8793326,9092563

9276473,2945052,2670133,9345559,8770868
9276473,2945052,2670133,9345559,8770868
2107458,1182175,3668336,2248278,9889193
2032076,8887644,1013666,2760575,8760398
2106238,2633103,1331217,3230198,3046066
9331591,8438032,1338007,8461915,3905186
9663261,2889044,2795128,8323593,8498609
2032076,8887644,1013666,2760575,8760398
9949037,2807036,2704058,2375195,9265387
1251132,2904675,3838112,1617038,9956073
8323593
2032076,8887644,1013666,2760575,8760398
2977637,8990014,1161734,9540473,1579138
3487029,2643215,9629647,2541184,1508787
3052094,1011831,9999169100050027,3052119,9790751
3552327,2677215,1802089,3152127,1685052
2032076,8887644,1013666,2760575,8760398
3052094,3600554,1011831,1179963,2823899
2107458,1182175,3668336,2248278,9889193
2107458,1182175,3668336,2248278,9889193
2704058,1011491
2106238,2856517,1331217,2633103,3230198
2032076,8887644,1013666,2760575,8760398
9223501,2856465,2375195,9791614
2032076,8887644,1013666,2760575,8760398

2107458,1182175,3668336,2248278,9889193
2107458,1182175,3668336,2248278,9889193
2032076,8887644,1013666,2760575,8760398

2032076,8887644,1013666,2760575,8760398
2032076,8887644,1013666,2760575,8760398
8564564,2755149,2749041,2856517,2833031

2802508,9980886,8947205,3650391,9823769
2671044,8498609,2550207,2759181,9517748
2032076,8887644,1013666,2760575,8760398
8669657,9328809,9739989,3668336,2078113
1182175,2107458,1450556,2281794,3668336
9194999,1974315,3021387,1066551
9194999,1974315,3021387,1066551
2107458,1182175,3668336,2248278,9889193
8237302,9858063,9238336,9889193,7294616

3487029,2643215,9629647,2541184,1508787
3302121,2106238,1309041,1778076,2823899
2032076,8887644,1013666,2760575,8760398
3046603,8793326,2173065,9927328,9092563
2106238,2633103,1331217,3230198,3046066
8323593

8323593
2330703
1331217,1580049,2897116,9540428,1330193
3046066,2633103,2633149
9713872,9854507,9854668,2856544,2856517
3046603,8793326,2173065,9927328,9092563
2078113,9460736,2953607
1331217,1580049,2897116,9540428,1330193
3487029,2643215,9629647,2541184,1508787
3046066,2633103,2633149
1179963,2823899,3600554,3653546,1180104
2106238,9276473,2945052,2633103,9215333
2078113,9460736,2953607
9328943,1066233,9057735,9522634,9262237
3166581,3455398,2953607,3568919,2815178
2802508,9980886,8947205,3650391,9823769
9333544,2842757,9215164,8597556,2106238
9927328,3046603,2173065,8793326,2480232
2078113,9460736,2953607
1930151,1535718,1180061
3302121,1778076,3180602,9927373,9902347
3969086,8709203,2758085,3046603,1228993

2704058,1011491
2032076,8887644,1013666,2760575,8760398
8533848,3566857,9749358,2106238,2633103


1331217,9276473,2945052,9936089,9959853
2032076,8887644,1013666,2760575,8760398
3052094,1011831,9999169100050027,3052119,2856517
2467183,2032076,8887644,1013666,2760575
3046066,2633103,2633149
9406243,1470147,1052221,3035168
8813313,9441712,9701377,2095189
3046066,2633103,2633149
2078113,9460736,2953607
3046603,8793326,2173065,9927328,9092563

1179963,2823899,3425352,9977237,3600554
2078113,2953607,9460736,3301556,1953203
2106238,9276473,2945052,2633103,9215333
1228939,1973042,1563461,9215333,8814811
3001046,8814811,2330703,1207275,2809529
9166742,2633158,2842757,3967307,1207275
3302121,1778076,3180602,9927373,9902347
3487029,2643215,9629647,2541184,1508787
2078113,9460736,2953607
9276473,2945052,2670133,9345559,8770868
3046603,9927328,2173065,8793326,2953607
8237302,9858063,9238336,9889193,7294616
3244621,2678578,2095189,1324987,3432088

2467183,2032076,8887644,1013666,2760575
9276473,2945052,2670133,9345559,8770868
1228939,1973042,1563461,9215333,8814811
3301556
2078113,9460736,2953607,3052094,1011831
2671044,8498609,2550207,2759181,9517748
2032076,8887644,1013666,2760575,8760398
9396833,7849894,2628429,1142357,1184298
9791614,9223501,2856465,2375195,9949037
9949037,2807036,2704058,2375195,9265387
3046603,9927328,2173065,8793326,9092563
2856544,9713872,9854668,2856517,9854507
9276473,2945052,2670133,9345559,8770868
2107458,1182175,3668336,2248278,9889193
2704058,1315467,3152127,1011491,2087044
2467183,9823696,2833031,9902347,9715591
3046603,8793326,2173065,9927328,9092563
9276473,2945052,1013666,9345559,7836737

3969086,8709203,2758085,3046603,1228993
9223501,2856465,2375195,3651035,9791614
2107458,1182175,3668336,2248278,9889193
9276473,2945052,2670133,9345559,2106238
9504431,7729489
9166797,2737171,1014064,1450556,1067948
9276473,2945052,9345559,1013666,2670133
3166581,3455398,2953607,3568919,2815178
2467183,2032076,8887644,1013666,2760575
3487029,2643215,9629647,2541184,1508787
2107458,1182175,3668336,2248278,9889193
2032076,8887644,1013666,2760575,8760398
9927328,2173065,3046603,8793326
3487029,2643215,9629647,2541184,1508787
2628429,7836737,2760575,2730972,8025816
2628429,7836737,2760575,2730972,8025816
9713872,9854507,9854668,2856544,2856517
9927328,2173065,3046603,8793326
2802508,9980886,8947205,3650391,9823769
